"article_id","full_name","sex","birth_year","city","state","country","continent","latitude","longitude","occupation","industry","domain","article_languages","page_views","average_views","historical_popularity_index"
89728,"Akhenaten","Male","-1380","Other","","Egypt","Africa",26,30,"Politician","Government","Institutions",62,7197331,116086,28.856
15745,"Johannes Gutenberg","Male","1398","Mainz","","Germany","Europe",50,8.26667,"Inventor","Invention","Science & Technology",108,11713571,108459,28.8535
9808,"Euripides","Male","-480","Salamis Island","","Greece","Europe",37.93333,23.5,"Writer","Language","Humanities",65,5941148,91402,28.8391
75150,"Seneca the Younger","Male","-4","Córdoba","","Spain","Europe",37.88333,-4.76667,"Philosopher","Philosophy","Humanities",62,8549935,137902,28.8207
2402,"Albrecht Dürer","Male","1471","Nuremberg","","Germany","Europe",49.45,11.08333,"Painter","Fine Arts","Arts",112,10212700,91185,28.8184
36812,"Pericles","Male","-495","Athens","","Greece","Europe",37.96667,23.71667,"Politician","Government","Institutions",63,7934375,125942,28.8129
51825,"Sun Tzu","Male","-544","Qi","","China","Asia",NA,NA,"Philosopher","Philosophy","Humanities",81,6622800,81763,28.7957
13621,"Hadrian","Male","76","Italica","","Spain","Europe",37.44389,-6.04667,"Politician","Government","Institutions",64,6885963,107593,28.7796
59172,"Judas Iscariot","Male","-1","Other","","Unknown","",NA,NA,"Religious Figure","Religion","Institutions",63,11142102,176859,28.7693
19960,"Mark Antony","Male","-83","Rome","","Italy","Europe",41.9,12.5,"Politician","Government","Institutions",61,9040703,148208,28.7531
14358,"Hammurabi","Male","-1796","Babylon","","Iraq","Asia",32.53639,44.42083,"Politician","Government","Institutions",82,5376002,65561,28.7455
16143,"John Locke","Male","1632","Wrington","","United Kingdom","Europe",51.3617,-2.7606,"Philosopher","Philosophy","Humanities",99,23061256,232942,28.7425
8211,"Democritus","Male","-460","Abdera","","Greece","Europe",40.95,24.98333,"Philosopher","Philosophy","Humanities",72,9288258,129004,28.7332
1028,"Aristophanes","Male","-446","Athens","","Greece","Europe",37.96667,23.71667,"Writer","Language","Humanities",68,4704294,69181,28.7213
20076,"Martin Luther King, Jr.","Male","1929","Atlanta","GA","United States","North America",33.755,-84.39,"Social Activist","Activism","Public Figure",116,28854653,248747,28.6877
24517,"Plutarch","Male","45","Chaeronea","","Greece","Europe",38.51667,22.85,"Philosopher","Philosophy","Humanities",72,5399390,74992,28.6819
10671,"Friedrich Nietzsche","Male","1844","Röcken","","Germany","Europe",51.24083,12.11611,"Philosopher","Philosophy","Humanities",117,39344570,336278,28.6677
42146,"Victor Hugo","Male","1802","Besançon","","France","Europe",47.2431,6.0219,"Writer","Language","Humanities",123,25659755,208616,28.6599
14980,"Imhotep","Male","-2650","Memphis","","Egypt","Africa",29.84472,31.25083,"Architect","Design","Arts",56,4231465,75562,28.6228
9288,"Elvis Presley","Male","1935","Tupelo","MS","United States","North America",34.25972,-88.72583,"Singer","Music","Arts",118,55896331,473698,28.6172
40112,"Salvador Dalí","Male","1904","Figueres","","Spain","Europe",42.26667,2.965,"Painter","Fine Arts","Arts",122,37482606,307234,28.593
25452,"Richard Wagner","Male","1813","Leipzig","","Germany","Europe",51.33333,12.38333,"Composer","Music","Arts",116,17596072,151690,28.5694
7236,"Constantine I","Male","272","Niš","","Serbia","Europe",43.3,21.9,"Politician","Government","Institutions",96,8393354,87431,28.5648
51465,"Molière","Male","1622","Paris","","France","Europe",48.8567,2.3508,"Writer","Language","Humanities",106,17239276,162635,28.5634
19283178,"Benito Mussolini","Male","1883","Predappio","","Italy","Europe",44.1,11.98333,"Politician","Government","Institutions",105,30179131,287420,28.5507
13700,"Hesiod","Male","-800","Other","","Greece","Europe",NA,NA,"Writer","Language","Humanities",61,3804261,62365,28.5445
46289,"Xerxes I of Persia","Male","-519","Other","","Iran","Asia",32,53,"Politician","Government","Institutions",57,8762549,153729,28.5358
30536,"Tiberius","Male","-42","Rome","","Italy","Europe",41.9,12.5,"Politician","Government","Institutions",75,7080121,94402,28.5326
22614,"Oscar Wilde","Male","1854","Dublin","","Ireland","Europe",53.34778,-6.25972,"Writer","Language","Humanities",100,27541340,275413,28.5287
10868,"Francisco Goya","Male","1746","Fuendetodos","","Spain","Europe",41.34333,-0.85861,"Painter","Fine Arts","Arts",116,13608720,117317,28.5249
21463370,"Peter Paul Rubens","Male","1577","Siegen","","Germany","Europe",50.88333,8.01667,"Painter","Fine Arts","Arts",99,8171725,82543,28.5205
6548,"Claude Monet","Male","1840","Paris","","France","Europe",48.8567,2.3508,"Painter","Fine Arts","Arts",92,23208960,252271,28.5044
234264,"Diogenes of Sinope","Male","-412","Sinop","","Turkey","Asia",42.03333,35.15,"Philosopher","Philosophy","Humanities",62,5869970,94677,28.4978
8580,"Diocletian","Male","244","Solin","","Croatia","Europe",43.535,16.485,"Politician","Government","Institutions",70,5522343,78891,28.4917
46117,"Eratosthenes","Male","-276","Cyrene","","Libya","Africa",32.825,21.85806,"Geographer","Social Sciences","Science & Technology",70,5976911,85384,28.4856
10823,"Frédéric Chopin","Male","1810","Żelazowa Wola","","Poland","Europe",52.26667,20.33333,"Composer","Music","Arts",109,22680875,208081,28.4658
14187,"Henry VIII of England","Male","1491","Greenwhich","","United Kingdom","Europe",51.48222,-0.00667,"Nobleman","Government","Institutions",77,48601509,631188,28.4656
19527,"Mao Zedong","Male","1893","Shaoshan","","China","Asia",27.91,112.48,"Politician","Government","Institutions",122,29051982,238131,28.4606
45109,"Marie Antoinette","Female","1755","Vienna","","Austria","Europe",48.2,16.36667,"Nobleman","Government","Institutions",65,32610600,501702,28.4474
6125,"Carl Friedrich Gauss","Male","1777","Braunschweig","","Germany","Europe",52.26667,10.51667,"Mathematician","Math","Science & Technology",108,10019549,92774,28.4442
12958,"Giuseppe Verdi","Male","1813","Le Roncole","","Italy","Europe",44.9525,10.07222,"Composer","Music","Arts",107,11937617,111567,28.398
22416,"Otto von Bismarck","Male","1815","Schönhausen","","Germany","Europe",52.57861,12.03972,"Politician","Government","Institutions",108,15484912,143379,28.386
7018,"Caravaggio","Male","1571","Milan","","Italy","Europe",45.46667,9.18333,"Painter","Fine Arts","Arts",71,13560021,190986,28.3579
15192,"Isaac","Male","-3500","Canaan","","Israel","Asia",NA,NA,"Religious Figure","Religion","Institutions",62,4778973,77080,28.3556
16209,"Justinian I","Male","483","Tauresium","","Republic Of Macedonia","Europe",NA,NA,"Politician","Government","Institutions",72,5998344,83310,28.3512
19318,"Marilyn Monroe","Female","1926","Los Angeles","CA","United States","North America",34.05,-118.25,"Actor","Film And Theatre","Arts",143,63671491,445255,28.3466
12598,"Georg Wilhelm Friedrich Hegel","Male","1770","Stuttgart","","Germany","Europe",48.78333,9.18333,"Philosopher","Philosophy","Humanities",95,10627502,111868,28.3382
73515,"Sandro Botticelli","Male","1445","Florence","","Italy","Europe",43.78333,11.25,"Painter","Fine Arts","Arts",70,9514874,135927,28.3374
12963,"Giordano Bruno","Male","1548","Nola","","Italy","Europe",40.92608,14.52744,"Astronomer","Natural Sciences","Science & Technology",83,7818939,94204,28.3298
800012,"Cyrus the Great","Male","-576","Anshan","","Iran","Asia",30.01167,52.40778,"Politician","Government","Institutions",89,6836963,76820,28.3238
17740,"Louis Pasteur","Male","1822","Dole","","France","Europe",47.0931,5.4906,"Chemist","Natural Sciences","Science & Technology",116,17803458,153478,28.3177
44324,"Commodus","Male","161","Lanuvium","","Italy","Europe",41.6747,12.69758,"Politician","Government","Institutions",57,5964371,104638,28.3054
18993992,"Spartacus","Male","-109","Thrace","","Bulgaria","Europe",NA,NA,"Military Personnel","Military","Institutions",64,29683994,463812,28.2996
12775,"George Frideric Handel","Male","1685","Halle","","Germany","Europe",51.48333,11.96667,"Composer","Music","Arts",93,10717383,115241,28.2857
5233,"Carl Linnaeus","Male","1707","Råshult","","Sweden","Europe",56.618,14.202,"Biologist","Natural Sciences","Science & Technology",123,9210590,74883,28.2851
21615,"Nostradamus","Male","1503","Saint-Rémy-de-Provence","","France","Europe",43.79,4.8325,"Writer","Language","Humanities",74,22719309,307018,28.2818
47118,"Darius I of Persia","Male","-549","Other","","Iran","Asia",NA,NA,"Politician","Government","Institutions",67,3654557,54546,28.2766
34155,"Xenophon","Male","-431","Athens","","Greece","Europe",37.96667,23.71667,"Historian","History","Humanities",57,3450862,60541,28.2743
23734,"Petrarch","Male","1304","Arezzo","","Italy","Europe",43.47333,11.87,"Writer","Language","Humanities",77,7824106,101612,28.2658
12957,"Giovanni Boccaccio","Male","1313","Certaldo","","Italy","Europe",43.54778,11.04111,"Writer","Language","Humanities",77,5589596,72592,28.2525
11625,"Fyodor Dostoyevsky","Male","1821","Moscow","","Russia","Europe",55.75,37.61667,"Writer","Language","Humanities",113,13376431,118375,28.2486
31131,"Theodosius I","Male","347","Coca","Segovia","Spain","Europe",41.2167,-4.5167,"Politician","Government","Institutions",65,3904324,60067,28.2484
9840,"Elijah","Male","-3500","Tishbe","Gilead","Jordan","Asia",NA,NA,"Religious Figure","Religion","Institutions",55,5685950,103381,28.2463
58230,"Solon","Male","-638","Athens","","Greece","Europe",37.96667,23.71667,"Politician","Government","Institutions",54,4115537,76214,28.2375
52121,"Strabo","Male","-64","Amasya","","Turkey","Asia",40.65,35.83306,"Geographer","Social Sciences","Science & Technology",67,2234878,33356,28.2178
19455,"Max Weber","Male","1864","Erfurt","","Germany","Europe",50.98333,11.03333,"Sociologist","Social Sciences","Science & Technology",89,17464357,196229,28.2169
18622119,"Leo Tolstoy","Male","1828","Yasnaya Polyana","","Russia","Europe",54.07611,37.52611,"Writer","Language","Humanities",123,16181442,131556,28.2126
29823,"Thomas Hobbes","Male","1588","Malmesbury","","United Kingdom","Europe",NA,NA,"Philosopher","Philosophy","Humanities",79,13453210,170294,28.2082
242606,"Khufu","Male","-2600","Other","","Unknown","",NA,NA,"Politician","Government","Institutions",52,3397134,65330,28.2012
30864,"Thucydides","Male","-460","Alimos","","Greece","Europe",37.91667,23.71667,"Historian","History","Humanities",71,4063157,57228,28.199
12281,"Gottfried Wilhelm von Leibniz","Male","1646","Leipzig","","Germany","Europe",51.33333,12.38333,"Mathematician","Math","Science & Technology",106,7295094,68822,28.1935
19594563,"Tacitus","Male","56","Gaul","","France","Europe",46.5,2.9,"Historian","History","Humanities",67,4359911,65073,28.1906
15930,"John Calvin","Male","1509","Noyon","","France","Europe",49.5817,2.9997,"Religious Figure","Religion","Institutions",79,9406706,119072,28.177
32917,"Walt Disney","Male","1901","Chicago","IL","United States","North America",41.92,-87.73,"Producer","Business","Business & Law",113,33332870,294981,28.1723
30479,"Thomas More","Male","1478","London","","United Kingdom","Europe",51.5155,-0.0922,"Philosopher","Philosophy","Humanities",69,11761778,170461,28.1615
17900,"Le Corbusier","Male","1887","La Chaux-de-Fonds","","Switzerland","Europe",47.10133,6.825,"Architect","Design","Arts",107,13401962,125252,28.1602
32570,"Vespasian","Male","9","Falacrinae","","Italy","Europe",NA,NA,"Politician","Government","Institutions",69,4020556,58269,28.1584
16340,"Jean-Paul Sartre","Male","1905","Paris","","France","Europe",48.8567,2.3508,"Writer","Language","Humanities",106,19009595,179336,28.1531
15736,"Johannes Kepler","Male","1571","Weil der Stadt","","Germany","Europe",48.75083,8.87056,"Astronomer","Natural Sciences","Science & Technology",105,12480204,118859,28.1457
52790,"Aleksandr Pushkin","Male","1799","Moscow","","Russia","Europe",55.75,37.61667,"Writer","Language","Humanities",116,6788172,58519,28.1305
1168,"Anaximander","Male","-610","Miletus","","Turkey","Asia",37.53028,27.27833,"Philosopher","Philosophy","Humanities",70,4275744,61082,28.1212
10152,"Desiderius Erasmus","Male","1466","Rotterdam","","Netherlands","Europe",51.91667,4.5,"Philosopher","Philosophy","Humanities",69,8517572,123443,28.1211
26992,"Suleiman the Magnificent","Male","1494","Trabzon","","Turkey","Asia",41,39.73333,"Politician","Government","Institutions",87,20448629,235042,28.1209
33265,"Winston Churchill","Male","1874","Blenheim Palace","","United Kingdom","Europe",51.84194,-1.36139,"Politician","Government","Institutions",114,32842779,288095,28.1069
52346,"Nebuchadrezzar II","Male","-634","Other","","Iraq","Asia",NA,NA,"Politician","Government","Institutions",57,5540287,97198,28.0941
23575,"Parmenides","Male","-510","Velia","","Italy","Europe",40.16083,15.155,"Philosopher","Philosophy","Humanities",58,4554554,78527,28.0922
43311,"Johannes Vermeer","Male","1632","Delft","","Netherlands","Europe",52.01667,4.36667,"Painter","Fine Arts","Arts",74,9648252,130382,28.0899
405374,"Ali","Male","598","Kaaba","","Saudi Arabia","Asia",21.4225,39.82618,"Religious Figure","Religion","Institutions",84,9632569,114673,28.0897
15630,"James Cook","Male","1728","Marton","","United Kingdom","Europe",54.5406,-1.2124,"Explorer","Explorers","Exploration",115,11738304,102072,28.0893
3986,"Benjamin Franklin","Male","1706","Boston","MA","United States","North America",42.35806,-71.06361,"Politician","Government","Institutions",88,29472054,334910,28.0867
9549,"Edgar Allan Poe","Male","1809","Boston","MA","United States","North America",42.35806,-71.06361,"Writer","Language","Humanities",99,33748011,340889,28.0844
16094,"Joseph Haydn","Male","1732","Rohrau","","Austria","Europe",48.06667,16.85,"Composer","Music","Arts",83,11122433,134005,28.0808
42368,"Honoré de Balzac","Male","1799","Tours","","France","Europe",47.3936,0.6892,"Writer","Language","Humanities",82,9787362,119358,28.0715
18024,"Li Bai","Male","701","Suyab","","China","Asia",NA,NA,"Writer","Language","Humanities",102,2893988,28372,28.0664
27729289,"Giotto di Bondone","Male","1267","Florence","","Italy","Europe",43.78333,11.25,"Artist","Fine Arts","Arts",68,5544452,81536,28.0579
11968,"George Washington","Male","1732","Westmoreland County","VA","United States","North America",38.11,-76.8,"Politician","Government","Institutions",134,34838477,259989,28.046
69852,"Donatello","Male","1386","Florence","","Italy","Europe",43.78333,11.25,"Painter","Fine Arts","Arts",79,6995725,88553,28.0258
29778,"Thomas Edison","Male","1847","Milan","OH","United States","North America",41.29333,-82.60139,"Inventor","Invention","Science & Technology",126,38631687,306601,28.0222
12326,"Galen","Male","130","Pergamon","","Turkey","Asia",39.1325,27.18417,"Physician","Medicine","Science & Technology",73,4392712,60174,28.019
154239,"Titian","Male","1485","Pieve di Cadore","","Italy","Europe",46.43333,12.36667,"Painter","Fine Arts","Arts",67,7560886,112849,28.0174
3408,"Baruch Spinoza","Male","1632","Amsterdam","","Netherlands","Europe",52.36667,4.9,"Philosopher","Philosophy","Humanities",84,8686774,103414,28.0143
